Date,OECD US
Jan-00,101.3181
Feb-00,101.2804
Mar-00,101.2141
Apr-00,101.1284
May-00,101.0111
Jun-00,100.8589
Jul-00,100.6562
Aug-00,100.4075
Sep-00,100.1235
Oct-00,99.7946
Nov-00,99.4330
Dec-00,99.0589
Jan-01,98.7377
Feb-01,98.5032
Mar-01,98.3598
Apr-01,98.2923
May-01,98.2723
Jun-01,98.2500
Jul-01,98.2025
Aug-01,98.1340
Sep-01,98.0855
Oct-01,98.1251
Nov-01,98.2802
Dec-01,98.5321
Jan-02,98.8280
Feb-02,99.1151
Mar-02,99.3333
Apr-02,99.4253
May-02,99.3719
Jun-02,99.1783
Jul-02,98.8938
Aug-02,98.5857
Sep-02,98.2955
Oct-02,98.0629
Nov-02,97.9070
Dec-02,97.8012
Jan-03,97.7269
Feb-03,97.6974
Mar-03,97.7450
Apr-03,97.8917
May-03,98.1283
Jun-03,98.4250
Jul-03,98.7645
Aug-03,99.1377
Sep-03,99.5334
Oct-03,99.9333
Nov-03,100.3051
Dec-03,100.6146
Jan-04,100.8468
Feb-04,100.9847
Mar-04,101.0435
Apr-04,101.0381
May-04,100.9917
Jun-04,100.9171
Jul-04,100.8206
Aug-04,100.7119
Sep-04,100.6116
Oct-04,100.5347
Nov-04,100.4913
Dec-04,100.4602
Jan-05,100.4125
Feb-05,100.3475
Mar-05,100.2778
Apr-05,100.2317
May-05,100.2296
Jun-05,100.2669
Jul-05,100.3165
Aug-05,100.3758
Sep-05,100.4637
Oct-05,100.5947
Nov-05,100.7556
Dec-05,100.9112
Jan-06,101.0351
Feb-06,101.1200
Mar-06,101.1614
Apr-06,101.1521
May-06,101.1088
Jun-06,101.0704
Jul-06,101.0518
Aug-06,101.0661
Sep-06,101.1233
Oct-06,101.2053
Nov-06,101.3004
Dec-06,101.4011
Jan-07,101.4991
Feb-07,101.5994
Mar-07,101.7069
Apr-07,101.8108
May-07,101.8909
Jun-07,101.9357
Jul-07,101.9283
Aug-07,101.8598
Sep-07,101.7579
Oct-07,101.6410
Nov-07,101.5167
Dec-07,101.3937
Jan-08,101.2694
Feb-08,101.1376
Mar-08,100.9921
Apr-08,100.8156
May-08,100.5804
Jun-08,100.2428
Jul-08,99.7669
Aug-08,99.1233
Sep-08,98.3115
Oct-08,97.3847
Nov-08,96.4610
Dec-08,95.6473
Jan-09,95.0294
Feb-09,94.6666
Mar-09,94.5979
Apr-09,94.8146
May-09,95.2325
Jun-09,95.7669
Jul-09,96.3492
Aug-09,96.9294
Sep-09,97.4746
Oct-09,97.9717
Nov-09,98.4208
Dec-09,98.8290
Jan-10,99.1824
Feb-10,99.4486
Mar-10,99.6352
Apr-10,99.7234
May-10,99.7171
Jun-10,99.6582
Jul-10,99.6100
Aug-10,99.6216
Sep-10,99.7033
Oct-10,99.8423
Nov-10,100.0240
Dec-10,100.2137
Jan-11,100.3716
Feb-11,100.4608
Mar-11,100.4511
Apr-11,100.3406
May-11,100.1425
Jun-11,99.8838
Jul-11,99.6154
Aug-11,99.3921
Sep-11,99.2777
Oct-11,99.2962
Nov-11,99.4266
Dec-11,99.6169
Jan-12,99.7988
Feb-12,99.9176
Mar-12,99.9546
Apr-12,99.9154
May-12,99.8215
Jun-12,99.7149
Jul-12,99.6387
Aug-12,99.6087
Sep-12,99.6364
Oct-12,99.6955
Nov-12,99.7660
Dec-12,99.8503
Jan-13,99.9472
Feb-13,100.0491
Mar-13,100.1414
Apr-13,100.2373
May-13,100.3414
Jun-13,100.4281
Jul-13,100.4764
Aug-13,100.4888
Sep-13,100.4717
Oct-13,100.4407
Nov-13,100.4076
Dec-13,100.3673
Jan-14,100.3328
Feb-14,100.3380
Mar-14,100.3821
Apr-14,100.4397
May-14,100.4882
Jun-14,100.5151
Jul-14,100.5150
Aug-14,100.4918
Sep-14,100.4458
Oct-14,100.3723
Nov-14,100.2667
Dec-14,100.1238
Jan-15,99.9516
Feb-15,99.7585
Mar-15,99.5647